[0] Time Stamp,Level,Pid,CounterName,Sample,IntervalInMs,SchemaID
[1] Time Stamp,ObfuscatedData
2026-01-29T19:34:12.1900014Z,4,2188,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:34:12.1900032Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:34:22.1829729Z,4,2188,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:34:22.1829764Z,4,2188,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:34:22.1829782Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:34:22.1830184Z,4,2188,"\Process(MonAgent)\Handle Count",550.000000,10000, [0]
2026-01-29T19:34:22.1830201Z,4,2188,"\Process(MonAgent)\Thread Count",45.000000,10000, [0]
2026-01-29T19:34:22.1830267Z,4,2188,"\Process(MonAgent)\Private Bytes",15073280.000000,10000, [0]
2026-01-29T19:34:22.1830283Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",15081472.000000,10000, [0]
2026-01-29T19:34:22.1830299Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:34:22.1830319Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:34:32.1869246Z,4,2188,"\MaEtwListener\Events Captured",2.000000,10000, [0]
2026-01-29T19:34:32.1869285Z,4,2188,"\MaEtwListener\Events Logged",1.000000,10000, [0]
2026-01-29T19:34:32.1869301Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:34:32.1869435Z,4,2188,"\Processor(_Total)\% Processor Time",0.701754,10000, [0]
2026-01-29T19:34:32.1869530Z,4,2188,"\Process(MonAgent)\% Processor Time",0.000000,10000, [0]
2026-01-29T19:34:32.1869569Z,4,2188,"\Process(MonAgent)\Handle Count",558.000000,10000, [0]
2026-01-29T19:34:32.1869590Z,4,2188,"\Process(MonAgent)\Thread Count",45.000000,10000, [0]
2026-01-29T19:34:32.1869634Z,4,2188,"\Process(MonAgent)\Private Bytes",15085568.000000,10000, [0]
2026-01-29T19:34:32.1869650Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",15093760.000000,10000, [0]
2026-01-29T19:34:32.1869667Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:34:32.1869683Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:34:42.1865437Z,4,2188,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:34:42.1865479Z,4,2188,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:34:42.1865497Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:34:42.1865636Z,4,2188,"\Processor(_Total)\% Processor Time",1.094605,10000, [0]
2026-01-29T19:34:42.1865745Z,4,2188,"\Process(MonAgent)\% Processor Time",0.000000,10000, [0]
2026-01-29T19:34:42.1865782Z,4,2188,"\Process(MonAgent)\Handle Count",558.000000,10000, [0]
2026-01-29T19:34:42.1865804Z,4,2188,"\Process(MonAgent)\Thread Count",45.000000,10000, [0]
2026-01-29T19:34:42.1865849Z,4,2188,"\Process(MonAgent)\Private Bytes",15085568.000000,10000, [0]
2026-01-29T19:34:42.1865867Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",15093760.000000,10000, [0]
2026-01-29T19:34:42.1865884Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:34:42.1865905Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:34:52.1865724Z,4,2188,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:34:52.1865763Z,4,2188,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:34:52.1865779Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:34:52.1865912Z,4,2188,"\Processor(_Total)\% Processor Time",0.117142,10000, [0]
2026-01-29T19:34:52.1866014Z,4,2188,"\Process(MonAgent)\% Processor Time",0.000000,10000, [0]
2026-01-29T19:34:52.1866052Z,4,2188,"\Process(MonAgent)\Handle Count",556.000000,10000, [0]
2026-01-29T19:34:52.1866079Z,4,2188,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:34:52.1866123Z,4,2188,"\Process(MonAgent)\Private Bytes",15044608.000000,10000, [0]
2026-01-29T19:34:52.1866139Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",15093760.000000,10000, [0]
2026-01-29T19:34:52.1866156Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:34:52.1866318Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:35:02.1847513Z,4,2188,"\MaEtwListener\Events Captured",3.000000,10000, [0]
2026-01-29T19:35:02.1847549Z,4,2188,"\MaEtwListener\Events Logged",2.000000,10000, [0]
2026-01-29T19:35:02.1847566Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:35:02.1848067Z,4,2188,"\Processor(_Total)\% Processor Time",0.429520,10000, [0]
2026-01-29T19:35:02.1848173Z,4,2188,"\Process(MonAgent)\% Processor Time",0.156278,10000, [0]
2026-01-29T19:35:02.1848208Z,4,2188,"\Process(MonAgent)\Handle Count",556.000000,10000, [0]
2026-01-29T19:35:02.1848228Z,4,2188,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:35:02.1848271Z,4,2188,"\Process(MonAgent)\Private Bytes",14946304.000000,10000, [0]
2026-01-29T19:35:02.1848287Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",15093760.000000,10000, [0]
2026-01-29T19:35:02.1848309Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:35:02.1848325Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:35:12.1860700Z,4,2188,"\MaEtwListener\Events Captured",9.000000,10000, [0]
2026-01-29T19:35:12.1860744Z,4,2188,"\MaEtwListener\Events Logged",9.000000,10000, [0]
2026-01-29T19:35:12.1860766Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:35:12.1863550Z,4,2188,"\Processor(_Total)\% Processor Time",7.304688,10000, [0]
2026-01-29T19:35:12.1863625Z,4,2188,"\Process(MonAgent)\% Processor Time",4.843059,10000, [0]
2026-01-29T19:35:12.1863662Z,4,2188,"\Process(MonAgent)\Handle Count",577.000000,10000, [0]
2026-01-29T19:35:12.1863685Z,4,2188,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:35:12.1863726Z,4,2188,"\Process(MonAgent)\Private Bytes",15081472.000000,10000, [0]
2026-01-29T19:35:12.1863747Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",36106240.000000,10000, [0]
2026-01-29T19:35:12.1863774Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:35:12.1863796Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:35:22.1873761Z,4,2188,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:35:22.1873823Z,4,2188,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:35:22.1873847Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:35:22.1874646Z,4,2188,"\Processor(_Total)\% Processor Time",7.109375,10000, [0]
2026-01-29T19:35:22.1874949Z,4,2188,"\Process(MonAgent)\% Processor Time",7.186654,10000, [0]
2026-01-29T19:35:22.1875000Z,4,2188,"\Process(MonAgent)\Handle Count",576.000000,10000, [0]
2026-01-29T19:35:22.1875026Z,4,2188,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:35:22.1875078Z,4,2188,"\Process(MonAgent)\Private Bytes",15474688.000000,10000, [0]
2026-01-29T19:35:22.1875099Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",36503552.000000,10000, [0]
2026-01-29T19:35:22.1875130Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:35:22.1875152Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:35:32.1796663Z,4,2188,"\MaEtwListener\Events Captured",2.000000,10000, [0]
2026-01-29T19:35:32.1796708Z,4,2188,"\MaEtwListener\Events Logged",1.000000,10000, [0]
2026-01-29T19:35:32.1796728Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:35:32.1797440Z,4,2188,"\Processor(_Total)\% Processor Time",11.619718,10000, [0]
2026-01-29T19:35:32.1799654Z,4,2188,"\Process(MonAgent)\% Processor Time",9.069398,10000, [0]
2026-01-29T19:35:32.1799719Z,4,2188,"\Process(MonAgent)\Handle Count",576.000000,10000, [0]
2026-01-29T19:35:32.1799746Z,4,2188,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:35:32.1799896Z,4,2188,"\Process(MonAgent)\Private Bytes",28131328.000000,10000, [0]
2026-01-29T19:35:32.1799917Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",40747008.000000,10000, [0]
2026-01-29T19:35:32.1799947Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:35:32.1799972Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:35:42.1795472Z,4,2188,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:35:42.1795532Z,4,2188,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:35:42.1795554Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:35:42.1797120Z,4,2188,"\Processor(_Total)\% Processor Time",56.015625,10000, [0]
2026-01-29T19:35:42.1797250Z,4,2188,"\Process(MonAgent)\% Processor Time",12.343896,10000, [0]
2026-01-29T19:35:42.1797295Z,4,2188,"\Process(MonAgent)\Handle Count",575.000000,10000, [0]
2026-01-29T19:35:42.1797323Z,4,2188,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:35:42.1797372Z,4,2188,"\Process(MonAgent)\Private Bytes",15511552.000000,10000, [0]
2026-01-29T19:35:42.1797394Z,4,2188,"\Process(MonAgent)\Private Bytes Peak",40747008.000000,10000, [0]
2026-01-29T19:35:42.1797425Z,4,2188,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:35:42.1797446Z,4,2188,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:35:52.1869737Z,4,2188,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:35:52.1869779Z,4,2188,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:35:52.1869804Z,4,2188,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:35:52.1870980Z,4,2188,"\Processor(_Total)\% Processor Time",62.051482,10000, [0]
